Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.0893550291657447,0.0236040086767387,0.0,0.0236040086767387,0.0236040086767387,0.0236040086767387,graph_lift,1000.0,195.286,7.633806733760434,,11.0,test,False,,,,3
M1,N7,E10b,T12a,categorical,0.9339066743850708,0.7,0.8966666666666666,0.7543202638626099,0.7,,,,0.366364260164653,0.366364260164653,0.3614764447729107,0.0076548709154574,0.366364260164653,0.007654870915457431,graph_lift,1000.0,195.857,7.617275631697084,1.447480150898743,11.0,test,False,,,,4
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.141448825597763,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,195.857,7.617275631697084,,11.0,test,False,,,,4
M1,N7,E10b,T12a,categorical,1.048675537109375,0.7133333333333334,0.9066666666666666,0.7446290254592896,0.7133333333333334,,,,0.2903159229689631,0.2903159229689631,0.2819141843259288,0.0117001874422871,0.2903159229689631,0.011700187442287137,graph_lift,1000.0,185.289,7.666059518781178,1.4109375953874534,11.0,test,False,,,,5
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1277267634868621,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,185.289,7.666059518781178,,11.0,test,False,,,,5
M1,N7,E10b,T12a,categorical,0.722183346748352,0.79,0.93,0.8101675510406494,0.79,,,,0.4747180513365763,0.4747180513365763,0.3572953349588966,0.1827008932169024,0.4747180513365763,0.18270089321690244,graph_lift,1000.0,193.87,7.654960414359729,1.3774818745119128,11.0,test,False,,,,6
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.0489078387618064,0.136920406951629,0.0,0.136920406951629,0.136920406951629,0.136920406951629,graph_lift,1000.0,193.87,7.654960414359729,,11.0,test,False,,,,6
M1,N7,E10b,T12a,categorical,0.8657110333442688,0.75,0.93,0.7751474380493164,0.75,,,,0.3753846099646513,0.3753846099646513,0.2941588607045865,0.1150765303098458,0.3753846099646513,0.11507653030984583,graph_lift,1000.0,197.093,7.634254681667049,1.4313239183734745,11.0,test,False,,,,7
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.0811618193984031,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,197.093,7.634254681667049,,11.0,test,False,,,,7
M1,N7,E10b,T12a,categorical,0.8835780620574951,0.7333333333333333,0.93,0.7735716104507446,0.7333333333333333,,,,0.3243257707893725,0.3243257707893725,0.2675506048214893,0.0775141140693359,0.3243257707893725,0.07751411406933599,graph_lift,1000.0,195.955,7.623883460508277,1.4068359340482244,11.0,test,False,,,,8
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1921966075897216,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,195.955,7.623883460508277,,11.0,test,False,,,,8
M1,N7,E10b,T12a,categorical,0.9471079707145692,0.7,0.9066666666666666,0.750744640827179,0.7,,,,0.3746630832764781,0.3746630832764781,0.338949944165687,0.0540248636175023,0.3746630832764781,0.054024863617502396,graph_lift,1000.0,190.636,7.634384088630237,1.440185309595298,10.0,test,False,,,,9
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.0825516730546951,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,190.636,7.634384088630237,,10.0,test,False,,,,9
M1,N7,E10b,T12b,categorical,0.8109715580940247,0.7733333333333333,0.9233333333333332,0.7913058996200562,0.7733333333333333,,,,0.4124695370815558,0.4124695370815558,0.3336685593202602,0.1182609328488372,0.4124695370815558,0.11826093284883717,graph_lift,1000.0,9.884,6.699253211905408,1.3871449488211751,10.0,train,False,,,,0
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.0820993930101394,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,9.884,6.699253211905408,,10.0,train,False,,,,0
M1,N7,E10b,T12b,categorical,0.8866727948188782,0.74,0.8966666666666666,0.779880940914154,0.74,,,,0.3593956864268597,0.3593956864268597,0.2502226518225259,0.1456072724385537,0.3593956864268597,0.1456072724385537,graph_lift,1000.0,9.811,6.660144837756773,1.386668040094565,11.0,train,False,,,,1
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.0945016220211982,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,9.811,6.660144837756773,,11.0,train,False,,,,1
